ISBN-10,ISBN-13,タイトル,著者,出版社,出版日,書齢,定価,価格（新品）,在庫数（新品）,価格（非常によい）,在庫数（非常によい）,価格（良い）,在庫数（良い）,価格（キズや使用感あり）,在庫数（キズや使用感あり）,内容,ジャンル,言語,本の長さ,版型
"4894444275","9784894444270","北欧のかわいいデザインたち","pieni kauppa 著","ピエ・ブックス","2005-05","20年","2420","","","","","","","","","スーパーマーケットで売っている日用品、食品、ショップの袋、チラシ、パンフレットなどの紙もの、文房具、街で見つけたストリートグラフィックなど、北欧の日常生活にあふれるかわいいデザインを一挙紹介。","芸術総記","jpn","199","A5"
"4894913089","9784894913080","自分にあわせてまちを変えてみる力","著:饗庭 伸,著:秋田典子,著:内田奈芳美,著:後藤智香子,著:鄭 一止,著:薬袋奈美子","萌文社","2016-03","9年","1870","","","","","","","","","誰にも「自分にあわせてまちを変えてみる力」が備わっていて、「自分にあわせて」「まちを変えてみる」ことが、社会を動かす原動力になる。韓国と台湾の「まちづくり」の現場で発見した様々なことが詰まった１冊。","建築","jpn","154","A4"
"4897375711","9784897375717","前川國男現代との対話","松隈洋 編","六耀社","2006-10","19年","2640","","","3941","1","","","","","「生誕１００年・前川國男建築展」のプレ企画として開催された連続セミナーと、記念シンポジウムの内容を収録。年表や作品データも掲載し、人物像から建築論まで、様々な角度から近代建築の巨人・前川を考察。","建築","jpn","326","A5"
"489815445X","9784898154458","シブいビル","鈴木伸子 著,白川青史 写真","リトル・モア","2016-08-22","9年","1870","","","","","","","","","昭和のビルよ、永遠に――。

1964年東京オリンピック前後、高度経済成長期に建設された、
昭和の香りただようビル。 

建設から半世紀を経て、建築として円熟味の増したシブい味わいが、
たまらなくカッコイイ！

ビルの外観はもちろん、「近未来の宇宙ステーション」を彷彿とさせるエレベーターホール、
手すりのデザインも美しい螺旋階段、堂々とした佇まいの総大理石の壁面、空間を埋めるモザイクタイル壁画、
円みを帯びた窓やアールがかった天井の形状、ビル最上階の回転ラウンジや老舗喫茶店などビル内の施設……
デザインや建材のひとつひとつが時代を映し、美しく輝いている。

2020年東京オリンピックを目前に、急ピッチで再開発の進む都心において、
いま見ておくべき貴重なビルに憩い、ときめき、愉しむための一冊。

--
東京交通会館／有楽町ビル・新有楽町ビル
新橋駅前ビル／ニュー新橋ビル
日本橋髙島屋 増築部分／中野ブロードウェイ
ソニービル／紀伊國屋ビル
ホテルニューオータニ／ロサ会館
サンスクエア／ホテルオークラ東京 別館
パレスサイドビル／三会堂ビル
目黒区総合庁舎／柳屋ビルディング
コマツビル／新東京ビル・国際ビル
……これぞシブいビル！厳選の20棟を徹底ガイド!!
--

・オールカラー128ページに約200点の図版を収録
・巻末には1954年から1973年の東京の風景や暮らしを知る年表も収録
１９６４年東京オリンピック前後に建設された昭和の香りただようビルが、たまらなくカッコイイ。スクラップ＆ビルド激しい東京で、今見ておくべき貴重なビルの、歴史と建築的トピック、愉しみかたを案内。","日本文学・評論・随筆・その他","jpn","127","A5"
"490293017X","9784902930177","旧山邑邸 (World architecture)","谷川正己 〔執筆〕,宮本和義 〔撮影〕,牧尾晴喜 〔訳〕","バナナブックス","2008-04","17年","1650","","","","","","","","","近代建築の巨匠フランク・ロイド・ライトの傑作、山邑邸（兵庫県芦屋市／1918年設計・1924年竣工）。『落水荘』に伍しながらも、あまり広くは知られていないこの住宅をあますことなく紹介する唯一の書。

マンション立替え計画、阪神淡路大震災を生き延びた奇跡の大谷石住宅。



フランク・ロイド・ライト（1867-1959）

1867年、アメリカ・ウィスコンシン州生まれ。1887年、サリヴァンの設計事務所に入所し活躍した後、1893年に独立。「有機的建築」を標榜し、主に住宅建築に多くの傑作を残した20世紀建築の巨匠。代表作は「カウフマン邸（落水荘）」。日本でも多くの仕事を手がけたが、その中でも1923年竣工の帝国ホテルは有名。日本文化に興味があり浮世絵を熱心に蒐集していた。
建築家フランク・ロイド・ライトによって作られた、芦屋の山稜に力強く佇む名住宅「旧山邑邸」は、大谷石を贅沢に使った装飾的な空間を持つ。住宅写真、図面、ディティールなどから、旧山邑邸の魅力を明かす。住宅写真

図面

ディティール

生き続ける大谷石住宅の奇跡

　電車のホームから望める洋館

　少壮住宅作家、ライト

　文化財指定へ

　旧山邑邸の特徴

　ライトが受けた日本建築の影響

　重要文化財、旧山邑邸

　保存意識の困難を克服して
","建築","jpn","63","A5"
"4903908828","9784903908823","これからの建築","光嶋裕介 著","ミシマ社","2016-09-17","9年","1980","","","","","553","1","","","街、ターミナル、橋、ライブ空間、高層建築…。過去と未来をつなぐ、豊かな空間。その手がかりを全力で探る。建築の希望を見つけるべく、様々なテーマで「これからの建築」について考えた文章と、スケッチを収録。","建築","","245","B6"
"4904285603","9784904285602","KJ 2017．10 ツバメアーキテクツ／エーディプラネックス／アーキコンプレックス／アトリエティープラス","","KJ","2017-09-15","8年","1650","","","","","","","","","ツバメアーキテクツ特集－ソーシャル・テクトニクス（社会的構法）の建築－ツバメアーキテクツ 
ツルガソネ保育所 特養通り抜けプロジェクト／牛久のおやこ屋根／荻窪家族プロジェクト／阿蘇草原情報館／蔀戸の家／旬八青果店／高島平の寄合所と居酒屋／小径木広葉樹を活用した家具／マイパブリック屋台／居場所をつくる「まる」と「しかく」／デザインとラボの並走／倉庫リノベーション研究会／新しい家族から学ぶ／

エーディプラネックス 
そらまめ保育園かなでの杜／そらまめ保育園船橋駅前

アーキコンプレックス 
White Tube／5-Axis Arbor／Green Ray／Kutsukake Stay 中軽井沢　

アトリエティープラス 
1 断片・組み合わせ・バランス・陰影／2 外観計画／3 エントランス計画／4 住戸計画／5 INDEX　

 

与条件と未条件 第2回 『建築言語と会計戦略』 高橋寿太郎 
建築の愉楽 第40回 『都市に何が可能か』 榎本弘之 
主要建設資材の市況動向","建築","","84","A4"
"4908406073","9784908406072","FLAT HOUSE LIFE 1＋2","アラタ・クールハンド 著","トゥーヴァージンズ","2017-03-25","8年","3056","","","","","1983","1","","","米軍ハウス、文化住宅、古民家…。古くて新しい平屋くらし。絶版本FLAT HOUSE LIFEシリーズが復刊。","建築","","","B5"
"4908406278","9784908406270","看板建築 (味なたてもの探訪)","萩野正和 監修","トゥーヴァージンズ","2019-05-26","6年","2090","","","","","","","","","","建築","","191","A5"
"4908406936","9784908406935","秀和レジデンス図鑑","谷島香奈子 著,haco 著","トゥーヴァージンズ","2022-02-22","3年","2310","","","","","","","","","街でよく見かける、あの「“南欧風”マンション」の
歴史とディテールを徹底解剖！
高度経済成長期に誕生したマンションシリーズが、
今なお愛され続ける理由がわかる!!

青い瓦屋根、白くモコモコとした塗り壁、アイアン柵のバルコニー、
モザイク画のようなタイル――。
「秀和レジデンス」という名前を知らなくても、
これらの特徴で「あのマンション！」とピンとくる人もいるのではないでしょうか。

秀和レジデンスは、
1964年東京オリンピックの年に竣工されたマンションシリーズです。

その可愛らしい外観から建築ファンに愛されるだけでなく、
一等地に建つ恵まれた立地からヴィンテージマンションとしての人気も高い。

本書は、秀和レジデンスの細部を徹底取材し、
モコモコした白い壁のタイプ別紹介や
タイルのパターン、バルコニーのデザインの違い、
レトロなステンドグラスや照明、個性的な塔屋などを豊富な写真で紹介。
あわせて、住人インタビューと部屋の詳細解説を通して、
外観と住居の両面から魅力に迫る一冊です。

今年（2022年）に取り壊しが始まった
シリーズ第１号「秀和青山レジデンス」の歴史物語ほか、
「南欧風の外観になった理由」「“秀和ブルー”という色が存在した」
「白い壁のつくり方」「秀和創業者 小林茂ストーリー」など読み物ページも充実。
巻末には全国134棟の秀和レジデンス一覧も収録！
※2024年7月より価格改定を行いました。","建築","jpn","192","A5"
